Marital status,Application mode,Course,Previous qualification,Tuition fees up to date,Scholarship holder,Age at enrollment,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Inflation rate,Output
1,8,2,1,1,0,20,0,0,0,0,0,1.4,Dropout
1,6,11,1,0,0,19,0,6,6,6,14,-0.3,Graduate
1,1,5,1,0,0,19,0,6,0,0,0,1.4,Dropout
1,8,15,1,1,0,20,0,6,8,6,13.42857143,-0.8,Graduate
2,12,3,1,1,0,45,0,6,9,5,12.33333333,-0.3,Graduate
2,12,17,12,1,0,50,0,5,10,5,11.85714286,0.3,Graduate
1,1,12,1,1,1,18,0,7,9,7,13.3,2.8,Graduate
1,9,11,1,0,0,22,0,5,5,0,0,2.8,Dropout
1,1,10,1,1,1,21,0,6,8,6,13.875,0.3,Graduate
1,1,10,1,0,0,18,0,6,9,5,11.4,1.4,Dropout
1,1,14,1,1,0,18,0,6,6,6,12.33333333,-0.3,Graduate
1,1,12,1,1,1,18,0,8,8,7,13.21428571,3.7,Graduate
1,1,16,1,1,0,19,0,6,6,0,0,3.7,Dropout
1,17,11,16,1,1,21,0,6,7,6,10.57142857,1.4,Graduate
1,1,6,1,1,1,18,0,5,7,4,13.25,1.4,Graduate
1,1,15,1,1,0,20,0,6,6,5,13.2,2.8,Dropout
1,9,10,1,1,0,18,0,6,10,1,12,1.4,Enrolled
1,8,12,1,1,0,18,0,7,8,7,13.30625,2.8,Graduate
1,1,8,1,1,0,20,0,5,8,4,12.5,1.4,Graduate
1,1,16,1,1,0,18,0,7,7,6,11.66666667,0.3,Enrolled
1,1,2,1,1,1,21,0,0,0,0,0,0.6,Graduate
1,9,13,1,1,0,20,0,7,14,7,11.4375,3.7,Enrolled
1,1,12,1,1,0,18,0,8,12,7,12.85714286,3.7,Graduate
1,1,14,1,1,1,19,0,6,8,6,13.375,0.6,Graduate
1,1,12,1,1,0,19,0,7,8,6,13.29666667,0.6,Graduate
1,1,10,1,1,1,18,0,6,8,5,11.6,2.6,Enrolled
